granule,date,datetime,flight_direction,relative_orbit,full_burst_id,subswath,polarization,platform
S1_045867_IW2_20230411T050919_VV_4497-BURST,2023-04-11,2023-04-11 05:09:20,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230423T050919_VV_FEC3-BURST,2023-04-23,2023-04-23 05:09:20,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230505T050919_VV_8B57-BURST,2023-05-05,2023-05-05 05:09:20,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230517T050920_VV_95C9-BURST,2023-05-17,2023-05-17 05:09:21,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230529T050921_VV_C81E-BURST,2023-05-29,2023-05-29 05:09:22,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230610T050921_VV_F7B3-BURST,2023-06-10,2023-06-10 05:09:22,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230622T050922_VV_FCF1-BURST,2023-06-22,2023-06-22 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230704T050923_VV_9CDB-BURST,2023-07-04,2023-07-04 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230716T050924_VV_A049-BURST,2023-07-16,2023-07-16 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230728T050924_VV_212E-BURST,2023-07-28,2023-07-28 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230809T050924_VV_E2B3-BURST,2023-08-09,2023-08-09 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230821T050925_VV_53B5-BURST,2023-08-21,2023-08-21 05:09:26,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230902T050926_VV_D0C4-BURST,2023-09-02,2023-09-02 05:09:27,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230914T050927_VV_E299-BURST,2023-09-14,2023-09-14 05:09:28,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230926T050927_VV_5C48-BURST,2023-09-26,2023-09-26 05:09:28,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20231008T050927_VV_3050-BURST,2023-10-08,2023-10-08 05:09:28,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20231020T050927_VV_1204-BURST,2023-10-20,2023-10-20 05:09:28,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20231101T050927_VV_7A60-BURST,2023-11-01,2023-11-01 05:09:28,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20231113T050927_VV_A8B4-BURST,2023-11-13,2023-11-13 05:09:28,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20231125T050926_VV_EAD1-BURST,2023-11-25,2023-11-25 05:09:27,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20231207T050926_VV_1E15-BURST,2023-12-07,2023-12-07 05:09:27,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20231219T050925_VV_3E6C-BURST,2023-12-19,2023-12-19 05:09:26,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20231231T050924_VV_A7F1-BURST,2023-12-31,2023-12-31 05:09:26,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240112T050924_VV_206E-BURST,2024-01-12,2024-01-12 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240124T050923_VV_8033-BURST,2024-01-24,2024-01-24 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240205T050923_VV_67AD-BURST,2024-02-05,2024-02-05 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240217T050923_VV_6655-BURST,2024-02-17,2024-02-17 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240229T050923_VV_6FDD-BURST,2024-02-29,2024-02-29 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240312T050923_VV_E8B1-BURST,2024-03-12,2024-03-12 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240324T050923_VV_E19E-BURST,2024-03-24,2024-03-24 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240405T050924_VV_7268-BURST,2024-04-05,2024-04-05 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240417T050924_VV_B4FA-BURST,2024-04-17,2024-04-17 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240429T050924_VV_1DE9-BURST,2024-04-29,2024-04-29 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240511T050924_VV_59B3-BURST,2024-05-11,2024-05-11 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240523T050924_VV_1FAE-BURST,2024-05-23,2024-05-23 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240604T050924_VV_79C9-BURST,2024-06-04,2024-06-04 05:09:25,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240616T050923_VV_1C3D-BURST,2024-06-16,2024-06-16 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240710T050922_VV_3C4E-BURST,2024-07-10,2024-07-10 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240722T050922_VV_10FA-BURST,2024-07-22,2024-07-22 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240803T050922_VV_CF6F-BURST,2024-08-03,2024-08-03 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240815T050922_VV_0513-BURST,2024-08-15,2024-08-15 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240827T050922_VV_9BBC-BURST,2024-08-27,2024-08-27 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240908T050922_VV_2D2C-BURST,2024-09-08,2024-09-08 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20240920T050923_VV_01ED-BURST,2024-09-20,2024-09-20 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20241002T050923_VV_86BF-BURST,2024-10-02,2024-10-02 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20241014T050923_VV_B810-BURST,2024-10-14,2024-10-14 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20241026T050923_VV_8FFD-BURST,2024-10-26,2024-10-26 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20241107T050923_VV_EBAD-BURST,2024-11-07,2024-11-07 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20241119T050922_VV_AE4C-BURST,2024-11-19,2024-11-19 05:09:24,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20241213T050921_VV_4B83-BURST,2024-12-13,2024-12-13 05:09:22,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20241225T050919_VV_7A63-BURST,2024-12-25,2024-12-25 05:09:20,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
