time,water_or_hidden
2022-01-08,0.07092198581560284
2022-01-20,0.026595744680851064
2022-02-01,0.14893617021276595
2022-02-13,0.1347517730496454
2022-02-25,0.1595744680851064
2022-03-09,0.1400709219858156
2022-03-21,0.15425531914893617
2022-04-02,0.1453900709219858
2022-04-14,0.16666666666666666
2022-04-26,0.16843971631205673
2022-05-08,0.15425531914893617
2022-05-20,0.13652482269503546
2022-06-01,0.08156028368794327
2022-06-13,0.0425531914893617
2022-06-25,0.1276595744680851
2022-07-07,0.10283687943262411
2022-07-19,0.09929078014184398
2022-07-31,0.047872340425531915
2022-08-12,0.05673758865248227
2022-08-24,0.05319148936170213
2022-09-05,0.0797872340425532
2022-09-17,0.0726950354609929
2022-09-29,0.11170212765957446
2022-10-11,0.07092198581560284
2022-10-23,0.08865248226950355
2022-11-04,0.06382978723404255
2022-11-16,0.05851063829787234
2022-11-28,0.06382978723404255
2022-12-10,0.12056737588652482
2022-12-22,0.11170212765957446
2023-01-03,0.11170212765957446
2023-01-15,0.10815602836879433
2023-01-27,0.06560283687943262
2023-02-08,0.1347517730496454
2023-02-20,0.14184397163120568
2023-03-04,0.051418439716312055
2023-03-16,0.08687943262411348
2023-03-28,0.05673758865248227
2023-04-09,0.09042553191489362
2023-04-21,0.17553191489361702
2023-05-03,0.15425531914893617
2023-05-15,0.0797872340425532
2023-05-27,0.16666666666666666
2023-06-08,0.1453900709219858
2023-06-20,0.0726950354609929
2023-07-02,0.10638297872340426
2023-07-14,0.0975177304964539
2023-07-26,0.05673758865248227
2023-08-07,0.05851063829787234
2023-08-19,0.0975177304964539
2023-08-31,0.0726950354609929
2023-09-12,0.10106382978723404
2023-09-24,0.07092198581560284
2023-10-06,0.06914893617021277
2023-10-18,0.040780141843971635
2023-10-30,0.0726950354609929
2023-11-11,0.07801418439716312
2023-11-23,0.16312056737588654
2023-12-05,0.1702127659574468
2023-12-17,0.051418439716312055
2023-12-29,0.28191489361702127
2024-01-10,0.32092198581560283
2024-01-22,0.33865248226950356
2024-02-03,0.0851063829787234
2024-02-15,0.12588652482269502
2024-02-27,0.11347517730496454
2024-03-10,0.17907801418439717
2024-03-22,0.10460992907801418
2024-04-03,0.1400709219858156
2024-04-15,0.18617021276595744
2024-04-27,0.2872340425531915
2024-05-09,0.2907801418439716
2024-05-21,0.2712765957446808
2024-06-02,0.15780141843971632
2024-06-14,0.14361702127659576
2024-06-26,0.13297872340425532
2024-07-20,0.13120567375886524
2024-08-01,0.10815602836879433
2024-08-13,0.09574468085106383
2024-08-25,0.11347517730496454
2024-09-06,0.0797872340425532
2024-09-18,0.10283687943262411
2024-09-30,0.08156028368794327
2024-10-12,0.0975177304964539
2024-10-24,0.0797872340425532
2024-11-05,0.1099290780141844
2024-11-17,0.026595744680851064
2024-11-29,0.09219858156028368
2024-12-11,0.08865248226950355
2024-12-23,0.11879432624113476
