trial,amplitude_mm,r2_seasonal
318,1.838,0.1335
319,1.915,0.0341
320,1.068,0.0456
321,2.176,0.1204
322,1.511,0.0814
323,1.191,0.056
324,1.438,0.0526
325,1.155,0.0558
326,0.699,0.0432
327,0.399,0.0069
328,1.391,0.1078
329,1.43,0.0842
331,1.704,0.0666
332,1.207,0.0287
333,1.919,0.0684
334,0.91,0.0401
335,2.648,0.1315
336,1.005,0.0912
337,2.419,0.1265
338,2.264,0.055
339,1.008,0.0421
340,1.198,0.0888
341,1.208,0.0512
342,0.262,0.0399
343,1.351,0.0417
344,1.844,0.1674
345,1.762,0.1029
347,2.701,0.0994
348,2.594,0.1113
349,2.14,0.1155
350,2.902,0.1418
351,0.262,0.0054
352,2.078,0.074
353,0.763,0.1229
354,0.424,0.0281
355,1.92,0.0717
356,0.25,0.0039
357,1.709,0.056
358,1.321,0.0409
359,1.847,0.1461
360,0.344,0.0088
361,2.279,0.1323
362,2.237,0.1107
363,2.65,0.1226
364,0.511,0.1122
367,1.779,0.1514
368,10.413,0.2264
369,1.451,0.0939
370,0.953,0.0303
371,1.911,0.049
372,0.162,0.0022
373,1.847,0.1098
374,0.951,0.0223
375,0.317,0.0064
376,1.235,0.0991
377,0.398,0.0178
378,1.594,0.1618
379,0.241,0.0035
380,1.987,0.1733
381,2.703,0.1043
382,2.456,0.1447
383,0.452,0.0144
384,1.606,0.0927
385,0.98,0.0717
386,1.517,0.0526
388,0.547,0.0158
389,2.22,0.0972
391,1.237,0.0993
392,1.408,0.1478
394,0.956,0.0686
395,1.926,0.1433
396,0.11,0.0011
397,1.751,0.0693
398,0.985,0.085
399,0.172,0.0154
400,2.033,0.0825
401,2.431,0.1041
402,2.368,0.1653
403,1.784,0.0425
404,1.719,0.0744
405,0.562,0.0174
406,0.95,0.0569
407,1.961,0.0568
408,1.35,0.1793
409,0.425,0.0116
410,1.098,0.0308
411,1.211,0.0934
412,0.984,0.0239
413,1.797,0.0724
416,1.005,0.049
417,1.114,0.1597
418,0.446,0.0845
419,1.581,0.0926
420,1.681,0.0972
421,2.69,0.1013
422,0.189,0.003
423,1.964,0.1156
424,1.929,0.0877
426,1.66,0.1835
427,0.103,0.001
428,2.894,0.1402
430,2.4,0.1272
431,1.846,0.1101
432,2.246,0.112
433,2.575,0.1253
434,1.884,0.0514
435,1.227,0.1578
436,0.536,0.1229
437,1.73,0.0694
438,1.683,0.0314
439,1.938,0.1549
440,2.044,0.0828
441,2.361,0.1166
442,2.031,0.1224
443,1.599,0.0447
444,0.375,0.0097
445,4.491,0.0613
446,2.734,0.0952
448,2.585,0.098
449,1.618,0.0643
450,0.73,0.027
451,2.078,0.203
452,0.667,0.0145
453,1.025,0.0469
454,3.575,0.0692
455,2.809,0.0851
456,1.975,0.0793
457,1.26,0.0672
458,2.432,0.1344
459,2.282,0.1209
461,1.906,0.1733
462,7.184,0.2331
463,1.276,0.1449
464,1.604,0.1026
465,0.95,0.0769
466,1.579,0.169
467,2.363,0.1686
468,2.09,0.1066
469,2.917,0.0921
470,6.536,0.3046
471,0.207,0.0027
472,2.518,0.1022
473,8.336,0.1524
474,1.103,0.0498
475,2.399,0.1644
476,1.794,0.0725
477,1.155,0.0558
478,0.898,0.0613
479,2.259,0.1098
480,1.078,0.0467
481,2.394,0.0661
482,2.935,0.1355
483,2.061,0.1006
485,2.507,0.1422
486,1.101,0.1098
487,1.039,0.0494
488,2.109,0.1293
489,0.539,0.0115
490,1.442,0.1347
491,0.359,0.009
492,0.957,0.0349
493,1.086,0.0542
494,1.154,0.1548
495,2.356,0.1222
496,2.606,0.1253
497,5.359,0.0936
498,0.296,0.0105
499,2.305,0.1298
500,2.891,0.0902
501,1.945,0.1081
502,0.923,0.0631
503,2.138,0.1151
504,1.585,0.1684
505,1.068,0.0296
506,2.184,0.1323
507,2.336,0.1739
508,2.012,0.0478
509,1.154,0.1548
510,1.907,0.0315
511,1.393,0.0843
513,1.169,0.0356
514,1.131,0.0309
516,2.345,0.135
517,1.559,0.147
518,1.709,0.0691
519,2.101,0.1531
520,1.564,0.056
521,2.32,0.1481
522,1.403,0.103
523,1.593,0.0792
524,0.638,0.0503
525,1.546,0.0751
526,1.451,0.0939
527,2.178,0.0867
528,1.44,0.0671
529,1.684,0.0774
530,1.059,0.1542
531,1.606,0.0866
532,1.315,0.0793
533,0.267,0.0133
534,0.772,0.0334
536,2.221,0.0965
537,1.63,0.0998
538,4.784,0.1874
540,1.623,0.1257
541,1.604,0.1026
542,2.427,0.0979
543,2.29,0.1244
544,2.225,0.0621
545,2.33,0.0671
546,1.696,0.0814
547,1.906,0.1768
548,1.762,0.1098
549,0.878,0.0261
551,2.227,0.0996
553,2.345,0.1264
555,1.56,0.0887
556,1.917,0.082
557,2.247,0.1094
558,1.025,0.049
559,2.035,0.0821
560,1.87,0.1377
561,1.103,0.0489
562,1.002,0.074
563,2.058,0.1724
564,1.007,0.075
565,2.376,0.1228
566,2.178,0.0634
567,1.229,0.0578
568,2.533,0.1075
569,2.455,0.1189
570,3.143,0.1195
571,1.666,0.1728
572,1.384,0.0451
573,2.035,0.0841
574,2.756,0.1354
575,2.146,0.15
576,0.572,0.1492
577,1.174,0.0906
578,1.462,0.0477
579,1.871,0.0336
580,2.306,0.0848
581,1.578,0.0701
582,1.08,0.0259
583,4.169,0.0524
584,1.288,0.063
585,1.229,0.0578
587,1.399,0.0867
588,0.78,0.1188
589,1.286,0.0643
590,1.944,0.078
591,0.317,0.0063
592,2.238,0.108
593,2.729,0.0977
594,1.734,0.0671
595,1.747,0.0586
596,2.403,0.0965
597,1.348,0.1099
598,2.151,0.107
599,1.611,0.0774
600,0.422,0.012
601,1.875,0.0854
602,0.881,0.0385
603,1.14,0.2031
604,1.082,0.0515
605,4.566,0.1673
606,5.691,0.0471
607,1.922,0.1791
608,0.614,0.0931
609,0.486,0.1249
610,2.128,0.054
611,2.305,0.1373
612,1.448,0.0635
613,0.66,0.0212
614,1.897,0.0619
615,0.273,0.0038
616,1.025,0.1067
617,2.273,0.108
618,2.546,0.1077
619,2.343,0.1162
620,0.235,0.0044
621,2.619,0.0906
622,1.597,0.0615
623,1.495,0.0691
624,0.093,0.0008
625,1.989,0.174
626,1.753,0.1014
627,1.211,0.062
628,0.768,0.0748
629,0.666,0.0473
630,1.594,0.0911
631,1.599,0.0447
632,2.356,0.1245
633,0.098,0.0009
634,3.024,0.1337
635,2.661,0.1185
636,1.872,0.0785
637,2.415,0.1124
638,2.22,0.1078
639,2.588,0.1286
641,1.113,0.0856
642,1.679,0.0678
643,0.928,0.0835
644,1.797,0.1884
645,2.278,0.1141
646,2.33,0.1129
647,1.808,0.0359
648,1.958,0.0539
649,2.276,0.2187
650,2.328,0.0953
651,2.292,0.1032
652,0.407,0.0111
653,5.378,0.2277
654,1.148,0.0311
655,1.365,0.0976
656,2.217,0.0753
657,1.85,0.1023
658,1.144,0.1483
659,1.663,0.1003
660,0.894,0.0425
661,0.344,0.0066
662,2.219,0.1181
663,2.543,0.0942
664,1.72,0.0641
665,0.582,0.0237
666,0.636,0.159
668,1.469,0.1165
669,2.021,0.0534
670,0.886,0.0413
671,2.342,0.1089
672,3.022,0.1351
673,2.143,0.1557
674,2.053,0.0327
675,1.161,0.1594
676,1.289,0.1582
677,1.696,0.0433
678,2.237,0.1557
679,1.098,0.0814
680,1.489,0.0715
681,1.904,0.032
683,0.044,0.0002
684,1.63,0.0998
685,1.509,0.1667
686,0.371,0.006
687,0.981,0.0472
688,0.125,0.0014
689,1.217,0.0936
690,1.884,0.0975
691,4.169,0.0524
692,0.209,0.0027
693,2.176,0.0796
694,2.486,0.0205
695,0.3,0.0578
696,1.788,0.169
697,2.09,0.1382
698,0.631,0.0216
699,1.7,0.0534
700,1.415,0.0693
701,2.338,0.1173
702,1.895,0.0377
703,2.938,0.1041
704,2.241,0.1148
705,0.175,0.0169
706,1.653,0.1719
707,2.343,0.2257
708,2.409,0.1231
709,1.681,0.0318
710,2.828,0.119
711,2.373,0.1003
712,1.544,0.0122
713,1.774,0.1842
714,1.448,0.0659
715,1.562,0.05
716,1.593,0.0491
717,2.506,0.1231
718,1.549,0.0517
719,2.874,0.1289
720,1.583,0.0688
721,0.246,0.0046
722,2.538,0.1086
723,1.233,0.0948
724,1.672,0.0682
725,1.068,0.0456
726,0.289,0.0053
727,2.731,0.1207
728,2.177,0.0694
730,0.641,0.0955
731,2.793,0.0635
732,3.088,0.132
733,0.67,0.0444
734,1.479,0.1469
735,2.319,0.0638
736,0.876,0.1432
737,1.041,0.0226
738,1.693,0.0531
739,2.862,0.1054
740,2.004,0.1754
741,1.35,0.0655
742,1.205,0.1425
743,2.044,0.1258
744,2.421,0.1239
745,1.528,0.0324
746,1.252,0.098
747,1.033,0.0603
748,1.843,0.1385
749,1.213,0.0882
750,1.681,0.0346
751,0.123,0.0014
752,2.506,0.108
753,3.666,0.112
754,2.597,0.1147
755,1.308,0.0594
756,0.279,0.0061
757,0.47,0.0198
758,1.929,0.1132
759,1.637,0.149
760,0.583,0.0114
761,3.22,0.0944
762,1.692,0.0701
763,3.023,0.1317
764,1.918,0.1061
765,0.826,0.0204
766,8.733,0.1208
767,3.913,0.3286
768,1.901,0.1498
769,2.277,0.1224
771,0.175,0.0021
772,1.56,0.0829
773,1.608,0.0723
775,1.263,0.1234
776,1.622,0.1617
777,1.904,0.106
778,2.604,0.0743
779,0.137,0.0016
780,0.447,0.0842
781,2.381,0.1218
782,1.419,0.1619
783,1.015,0.0403
784,0.912,0.0232
785,1.268,0.0647
786,2.103,0.135
787,1.982,0.0982
788,1.161,0.1594
789,0.865,0.0241
790,1.784,0.0356
791,1.958,0.0539
792,0.285,0.0102
793,1.847,0.1461
794,1.264,0.0316
796,2.052,0.1149
797,1.28,0.0789
798,1.951,0.0743
799,1.169,0.0534
800,0.339,0.0051
801,2.832,0.1157
802,2.253,0.1099
