class,W_mean,W_median,pct_above_sbas_thr
A,0.48379813749350503,0.4608810004260805,9.880912257049768
B,0.3923516394167822,0.3936008075873057,0.0
C,0.39872057928129206,0.3939371042781406,0.005617346365576902
D,0.2159872584340591,0.2194220870733261,0.0
E,0.05589184563870382,0.053423938486311155,0.0
