zone,n_pixels,median_mm_yr,p10,p90
AOI_total,564,-4.546724559600989,-11.56170091883978,3.375955222723131
class_3,486,-4.194480911411347,-11.424096536959269,3.6432756235673196
class_4,56,-6.122262142301452,-11.836182673017902,3.3432501832376147
class_5,22,-4.955290508871997,-12.203616211592452,-0.4881830450665117
