flight_direction,relative_orbit,full_burst_id,n_acquisitions,first,last,median_gap_days,max_gap_days,n_gaps_gt_24d
ASCENDING,73,073_154962_IW2,92,2022-01-01,2024-12-28,12.0,12.0,0
ASCENDING,175,175_374052_IW1,90,2022-01-08,2024-12-23,12.0,24.0,0
ASCENDING,175,175_374053_IW1,90,2022-01-08,2024-12-23,12.0,24.0,0
DESCENDING,22,022_045866_IW2,89,2022-01-10,2024-12-25,12.0,24.0,0
DESCENDING,22,022_045867_IW2,89,2022-01-10,2024-12-25,12.0,24.0,0
