date,disp_mm
2022-01-08,0.0
2022-01-20,5.582013265218003
2022-02-01,2.6221851589628136
2022-02-13,3.829616097947233
2022-02-25,4.462953675397068
2022-03-09,6.325465132360181
2022-03-21,4.996959110476882
2022-04-02,3.140860524095335
2022-04-14,5.425281248855905
2022-04-26,3.5744633815792755
2022-05-08,1.0490355192705216
2022-05-20,-1.208097500254187
2022-06-01,1.3622989987533431
2022-06-13,4.245445313660101
2022-06-25,-2.334295102973761
2022-07-07,1.0561682332852786
2022-07-19,-2.758814485592559
2022-07-31,-4.61501787965274
2022-08-12,-4.703402202826119
2022-08-24,-0.11145439969835635
2022-09-05,-11.576984205667873
2022-09-17,-0.9585067299686081
2022-09-29,-4.016199458858988
2022-10-11,-4.474872284972094
2022-10-23,-3.6642558550381548
2022-11-04,-4.213648344237926
2022-11-16,-4.046350418032615
2022-11-28,-5.564634913395949
2022-12-10,-4.093917365959804
2022-12-22,-2.844906705223142
2023-01-03,-1.940221410211342
2023-01-15,-1.8478176250805673
2023-01-27,-3.064585730491312
2023-02-08,-0.9053483029336125
2023-02-20,-4.139523080656866
2023-03-04,-2.9440919511059382
2023-03-16,-0.6015343102031538
2023-03-28,-2.232970127171523
2023-04-09,-1.8264643684725024
2023-04-21,4.683733686083988
2023-05-03,5.843219019856333
2023-05-15,-4.384196953146423
2023-05-27,1.5421100572333142
2023-06-08,10.173598307740658
2023-06-20,-1.3945115339993102
2023-07-02,3.75897624942373
2023-07-14,0.7994989609057779
2023-07-26,0.8232128070011013
2023-08-07,-0.776964836930508
2023-08-19,1.1773632025723995
2023-08-31,1.7941054105580596
2023-09-12,-0.15868729973791496
2023-09-24,-4.399579684473171
2023-10-06,-2.759280083565412
2023-10-18,-2.319031453030888
2023-10-30,2.501673871461075
2023-11-11,0.903958361055333
2023-11-23,1.2674412471332983
2023-12-05,-0.008319334441304393
2023-12-17,1.1028883013040507
2023-12-29,3.4156273943433084
2024-01-10,4.903967447284854
2024-01-22,6.3330196390767375
2024-02-03,3.262286366725492
2024-02-15,0.5286209283480638
2024-02-27,0.8874402570141119
2024-03-10,3.8119615581611814
2024-03-22,3.932031829980459
2024-04-03,-2.237241265287852
2024-04-15,2.8569899027282455
2024-04-27,2.5550341399564314
2024-05-09,-2.483336061850115
2024-05-21,3.287982184283946
2024-06-02,4.437513141954309
2024-06-14,0.3348048140394333
2024-06-26,0.4832263477899603
2024-07-20,1.2216887690644118
2024-08-01,-0.5382038699709517
2024-08-13,-4.0881615386908114
2024-08-25,-9.760163924475307
2024-09-06,-6.307259703525371
2024-09-18,-4.06609243626724
2024-09-30,-6.083211831515365
2024-10-12,-6.542148376241294
2024-10-24,-9.091397904963829
2024-11-05,-9.951945582856812
2024-11-17,-10.794296777737634
2024-11-29,-7.431319109904326
2024-12-11,-8.610957252446461
2024-12-23,-6.741883756362455
