zone,n_triplets,mean_closure_rad,median_abs_rad,se,bias_significant
A,518,-0.0903481766581535,0.6832633018493652,0.05680459476682,False
B,518,-0.088422305881977,0.7767355442047119,0.0584010888257125,False
C,518,0.0268979929387569,0.2123883962631225,0.0248665112638881,False
D,518,-0.0213026106357574,0.2104390859603881,0.019004098447159,False
