zone,slope_coh_per_wtd,r,n
A,-10.69738714860094,-0.2619408567691676,356
B,-10.052890114607944,-0.23052825023619802,356
C,-9.49856925824952,-0.2085896042520896,356
D,-8.040306375196218,-0.1892504355196324,356
